Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czemu style są kaskadowe i jak to działa?;Kaskada oznacza że style nie mogą być override'owane;CSS to Cascading Style Sheets - style spadają od ogólnych do specyficznych. Jeśli pasuje wiele reguł, ostatnia wygrywa (z specificity). Override'uję poprzednie;Kaskada to przestarzały mechanizm;Tylko inline styles są kaskadowe;1
Po co używamy !important i dlaczego powinniśmy go unikać?;!important to best practice dla wszystkich deklaracji;!important nadpisuje wszystkie: color: red !important;. Problemy: trudne do maintainability, conflicts, debugging. Ostateczność. Lepiej specificity;!important jest deprecated w CSS3;!important działa tylko w inline styles;1
Jakie jednostki CSS znasz i kiedy ich używać?;Tylko px są zalecane dla wszystkiego;px - fixed pixels, em - relative do parent, rem - relative do root, % - relative do parent, vw/vh - viewport. em/rem lepsze niż px. rem dla consistent sizing;em i rem to synonimy;vw/vh nie działają w starszych przeglądarkach więc unikaj;1
Czym się różnią selektor '>' od selektora descendant ' '?;div > p - wszystkie nested, div p - direct children;div > p - direct children tylko. div p - wszystkie descendant'y (dowolna głębokość). > bardziej specific i zwykle szybszy;Nie ma różnicy, to synonimy;> jest deprecated, używaj tylko spacji;1
Co to są pseudoklasy i jakie znasz?;::hover, ::active, ::focus (z dwoma dwukropkami);:hover, :active, :focus, :nth-child(n), :first-child, :last-child, :not(). Stylują elementy bez zmiany HTML. Dla interactivity - hover effects, focus;Pseudoklasy są deprecated w CSS3;Pseudoklasy działają tylko w JavaScript;1
Co to jest box-model i z czego się składa?;Box-model to przestarzały koncept;Content -> padding -> border -> margin. Width wpływa na content. Kluczowe zrozumienie bo wszystkie layout'y bazują na box-model'u;Box-model: margin -> content -> padding -> border;Box-model działa tylko dla div'ów;1
Co robi box-sizing property?;box-sizing jest deprecated;content-box: width nie zawiera padding/border. border-box: width zawiera padding i border. border-box bardziej intuicyjny: * { box-sizing: border-box; };box-sizing działa tylko dla block elements;Nie ma różnicy między content-box i border-box;1
Co to jest mobile-first design i dlaczego jest ważny?;Mobile-first to deprecated approach;Zaczynam dla mobile, potem media queries dla larger. Lepsze dla performance - mniej CSS na mobile. Progressive enhancement. Mobile default nie afterthought;Desktop-first jest nowocześniejszy;Mobile-first wymaga specjalnych narzędzi;1
Czym się różnią SASS i LESS?;SASS i LESS to synonimy;SASS: $color, nesting, @mixin, functions. LESS: @variable, similar. SASS bardziej mature. Oba CSS preprocessor'y. PostCSS alternatywa;LESS jest nowszy od SASS;SASS i LESS są deprecated, używaj zwykłego CSS;1
Co to jest BEM i jak go używać?;BEM to framework CSS jak Bootstrap;Block Element Modifier - .block__element--modifier. .card__header--dark. Zmniejsza specificity conflicts, predictable CSS. Każda klasa atomowa. Maintainable w dużych projektach;BEM jest deprecated;BEM działa tylko z SASS;1
