Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Co to są wymagania nie-funkcjonalne?;Nie-funkcjonalne to deprecated term;Performance, Security, Scalability, Availability, Maintainability. Non-functional o -ilities nie about features ale quality attributes systemu;Nie-funkcjonalne to tylko dokumentacja;Funkcjonalne i nie-funkcjonalne to synonimy;1
Omów Scrum metodologię.;Scrum to przestarzała metodologia;Sprint'y 1-4 tygodnie. Daily standup 15min. Backlog prioritization. Sprint planning. Sprint review (demo). Retrospective (lessons). Agile framework dla iterative development;Scrum to tylko dla small teams;Scrum został zastąpiony przez Kanban;1
Co to jest Graceful Degradation?;Degradation to bug w systemie;Starsze przeglądarki dostają basic functionality. Nowoczesne features dla newer browsers. Fallback dla unsupported. Evergreen browsers mają full features;Graceful Degradation to deprecated practice;To to samo co Progressive Enhancement;1
Co to jest Progressive Enhancement?;Progressive to deprecated approach;Start z basic working version. Add advanced features dla browsers które support'ują. Layer'uj - HTML (content) -> CSS (presentation) -> JavaScript (behavior);Progressive Enhancement to framework;To opposite of Graceful Degradation;1
Co to jest Domain-Driven Design (DDD)?;DDD to przestarzały pattern;Focus na business domain. Entities, Value Objects, Aggregates, Repositories. Ubiquitous Language - consistent terminology między business i developers. Complex domain'y benefit'ują;DDD to tylko dla microservices;DDD został zastąpiony przez MVC;1
Co to jest REST API?;REST to przestarzały standard;Representational State Transfer - HTTP metody (GET/POST/PUT/DELETE), URL endpoints, stateless. Resource-oriented. Constraints: client-server, cacheable, layered. Standard dla web API'ów;REST to tylko dla JavaScript;REST wymaga SOAP;1
Autentykacja vs Autoryzacja - różnica?;To synonimy;Authentication - verify kim jesteś (login). Authorization - verify co możesz robić (permissions). Są orthogonal - mogę być authenticated ale nie authorized;Autentykacja jest deprecated;Authorization nie jest potrzebna z HTTPS;1
Jakie są best practices dla dobrego code'u?;Tylko performance matters;Czytelność - zrozumiałe imiona, structured. Maintainability - simple, modular, documented. DRY. KISS. YAGNI. SOLID principles. Kod dla ludzi nie maszyn;Więcej kodu = lepszy kod;Komentarze niepotrzebne;1
Co to jest enkapsulacja w OOP?;Enkapsulacja to deprecated concept;Ukrywam implementation details - expose tylko public interface. private properties/methods, public methods. Data hiding - external nie zależy na internals;Enkapsulacja to tylko dla Java;Public wszystko jest lepsze;1
Kiedy użyć inheritance vs composition?;Zawsze używaj inheritance;Inheritance dla is-a relationship - Dog is-a Animal. Composition dla has-a - Car has-a Engine. Composition bardziej flexible. Favors composition over inheritance;Composition jest deprecated;Inheritance zawsze lepsze;1
