Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Jak Node.js obsługuje operacje asynchroniczne?;Node.js to multi-threaded runtime z thread poolem;Node.js to single-threaded event-driven runtime. Event loop obsługuje async. OS obsługuje I/O w tle, callback'i w event loop. Tysiące concurrent connections bez blocking;Node.js jest synchroniczny jak PHP;Node.js używa tylko Promise'ów nie callback'ów;1
Czym się różnią CommonJS i ES Modules?;CommonJS: require() synchroniczny, module.exports. ES Modules: import/export asynchroniczne. Node wspiera oba. ES Modules to standard, CommonJS legacy;Nie ma różnicy, to synonimy;ES Modules nie działają w Node.js;CommonJS jest nowszy od ES Modules;0
Jak efektywnie przeczytać duże pliki?;fs.readFile dla wszystkich plików;fs.createReadStream czyta w chunks zamiast cały do pamięci. Dla plików które nie mieszczą się w RAM. pipe() łączy strumienie;readFileSync() jest najszybszy;Buffer.read() jako jedyny sposób;1
Czym jest Buffer w Node.js?;Buffer to deprecated klasa z Node.js 6;Buffer to array bytów - binary data. Buffer.from('hello') ze stringa. Przydatne dla binary data, file'ów, network'u. Bardzo szybkie;Buffer to tylko dla plików obrazów;String i Buffer to to samo w Node.js;1
Czym są strumienie w Node.js i jakie typy istnieją?;Tylko Readable i Writable;Readable (czytam), Writable (piszę), Duplex (oba), Transform (modyfikuję). pipe() łączy. Powerful abstraction dla dużych danych;Stream to przestarzały mechanizm;Strumienie działają tylko dla plików nie HTTP;1
Czym są Worker Threads?;Worker Threads to przestarzały mechanizm;const { Worker } = require('worker_threads'); new Worker('./worker.js'). Sharują memory - szybsze niż child processes. Idealne dla CPU-intensive;Worker Threads tylko dla wieloprocesorowych serwerów;child_process i Worker Threads to synonimy;1
Jak definiować REST routes w Express?;app.route('/users', 'GET', handler);app.get('/users', handler); app.post('/users', handler); app.put('/users/:id'); app.delete('/users/:id'). Routing metodą HTTP, path, handler;express.route() jako globalna funkcja;REST routing nie jest wspierane w Express;1
Czym się różnią Callbacks, Promise'y i async/await?;Callback'i pierwsze - funkcja jako argument. Promise'y - .then().catch(). async/await najczystsze - synchroniczny look. async/await to sugar nad promise'ami. Współczesny preferuje async/await;Wszystkie są identyczne w działaniu;async/await działa tylko w TypeScript;Promise'y są deprecated;0
Czym są WebSockets i czym się różnią od REST?;WebSockets to przestarzały protokół;WebSockets persistent connection, real-time, two-way. REST request-response, stateless, HTTP. WebSockets dla chat/live. REST dla CRUD. Mogę kombinować;WebSockets i REST to synonimy;REST jest szybszy od WebSockets zawsze;1
Czym jest Nest.js i jakie problemy rozwiązuje?;Nest.js to ORM dla Node.js;Nest.js to Framework analogiczny do Spring dla Node.js. Struktura, DI container, TypeScript. Rozwiązuje boilerplate. Architektura: Modules -> Controllers/Services. Scaling;Nest.js to tylko dla TypeScript nie dla JavaScript;Nest.js jest deprecated, używaj Express;1
