Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Co to jest adnotacja?;Adnotacja to komentarz który jest kompilowany do bytecode;Adnotacja to metadane (informacja) o kodzie. Nie wpływa bezpośrednio na kod ale jest używana przez kompilator, runtime, czy tools;Adnotacja to specjalny rodzaj interfejsu który musi być implementowany;Adnotacja to deprecated mechanizm zastąpiony przez komentarze JavaDoc;1
Jak zadeklarować własną adnotację?;@annotation MyAnnotation { String value(); };annotation MyAnnotation extends Annotation { String value(); };@interface MyAnnotation { String value(); int count() default 10; };interface MyAnnotation { @AnnotationValue String value(); };2
Czym jest target dla adnotacji? Jakie są możliwości?;@Target to domyślna wartość dla wszystkich parametrów adnotacji;@Target określa gdzie adnotacja może być używana. Możliwości: TYPE, FIELD, METHOD, PARAMETER, CONSTRUCTOR, LOCAL_VARIABLE itd;@Target to maksymalna liczba użyć adnotacji w klasie;@Target określa wersję Java dla której adnotacja jest dostępna;1
Czym jest retention dla adnotacji? Jakie są możliwości?;@Retention to czas życia obiektów tworzonych przez adnotację;@Retention określa jak długo adnotacja jest przechowywana. SOURCE (tylko kod), CLASS (w .class nie runtime), RUNTIME (w runtime);@Retention to liczba parametrów jakie adnotacja może przyjąć;@Retention to przestarzały mechanizm zastąpiony przez @Lifecycle;1
Czy adnotacji można używać wielokrotnie na danym targecie?;Tak zawsze, bez ograniczeń;Jeśli adnotacja ma @Repeatable, tak. Bez tego tylko raz;Nie, każda adnotacja może być użyta tylko raz na całą klasę;Od Java 11 wszystkie adnotacje są domyślnie repeatable;1
Jakie znasz adnotacje dostępne bezpośrednio w Javie?;@Override, @Deprecated, @SuppressWarnings, @FunctionalInterface, @SafeVarargs, @Retention, @Target;@Required, @Optional, @Immutable, @ThreadSafe, @NotNull;@Inject, @Autowired, @Component, @Service, @Repository;@Valid, @NotEmpty, @Size, @Pattern, @Email;0
Po co jest adnotacja @Deprecated?;@Deprecated usuwa metodę z kodu podczas kompilacji;Oznacza że element nie powinien być używany. Kompilator wyda ostrzeżenie;@Deprecated automatycznie refaktoruje kod do nowszej wersji;@Deprecated ukrywa element przed reflection API;1
Czy adnotacje wykorzystywane są podczas kompilacji?;Nie, adnotacje działają tylko w runtime;Tak, kompilator może czytać adnotacje i generować ostrzeżenia/błędy. Annotation processors mogą generować nowy kod;Adnotacje są usuwane podczas kompilacji podobnie jak komentarze;Tylko adnotacje @Compiled są przetwarzane podczas kompilacji;1
Czy adnotacje działają w runtime?;Wszystkie adnotacje działają w runtime domyślnie;Zależy od @Retention. Jeśli RUNTIME, tak. RUNTIME adnotacje dostępne poprzez reflection;Nie, adnotacje są tylko compile-time feature;Tylko adnotacje oznaczone @RuntimeEnabled działają w runtime;1
Czym jest annotation processor?;Annotation processor to JVM plugin który monitoruje użycie adnotacji;Annotation processor to tool który przetwarza adnotacje podczas kompilacji. Może generować nowe klasy/zasoby. Przykład: Lombok, MapStruct;Annotation processor to deprecated mechanizm z Java 1.5;Annotation processor to runtime framework do dynamicznego tworzenia proxy;1
