Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest moduł?;Moduł to alternatywna nazwa dla pakietu wprowadzona w Java 8;Moduł (Java 9+) to kontener klas w pakiety. Definiuje publiczny interfejs (exports) i zależności (requires). Buduje aplikacje z jasną separacją;Moduł to grupa interfejsów które muszą być implementowane razem;Moduł to plik JAR z manifestem zawierającym metadane o zależnościach;1
Czy moduły są alternatywą dla build tools?;Tak, moduły całkowicie zastępują Maven i Gradle od Java 9;Nie. Moduły (JPMS) to część JDK. Build tools (Maven, Gradle) są nadal potrzebne do zarządzania zależnościami zewnętrznymi;Moduły zastępują tylko Maven, Gradle nadal jest wymagany;Build tools są przestarzałe, moduły je całkowicie zastąpiły w Java 11;1
Jak utworzyć obiekt immutable w Javie?;Używając adnotacji @Immutable na klasie która automatycznie blokuje settery;Klasa final, pola private final, brak setters, zwracaj kopie mutable obiektów w getters, brak no-arg konstruktora;Wystarczy oznaczyć wszystkie pola jako final, reszta jest automatyczna;Implementować interfejs Immutable z pakietu java.lang.immutable;1
Jaka jest zaleta obiektów immutable?;Zajmują mniej pamięci dzięki kompresji JVM dla niezmiennych obiektów;Są szybsze w wykonaniu bo JVM używa specjalnej optymalizacji;Thread-safe bez synchronizacji, mogą być cache'owane, mogą być kluczami w mapach, łatwe do rozumienia, mniej bugów;Mogą być serializowane bez implementacji Serializable;2
Czym jest record?;Record to przestarzała nazwa dla enum wprowadzona w Java 5;Record to interfejs funkcyjny dla lambda expressions;Record (Java 14+) to szybki sposób na immutable klasę. Automatycznie tworzy konstruktor, getters, equals(), hashCode(), toString();Record to annotation processor generujący kod na podstawie adnotacji;2
Jakie cechy posiadają rekordy i gdzie mogą mieć zastosowanie?;Rekordy są mutable i mogą dziedziczyć klasy abstrakcyjne;Rekordy są immutable, auto-generują metody, mogą dziedzic interfejsy. Zastosowanie: DTO, wartościowe klasy, reprezentacja danych;Rekordy mogą być tylko lokalne wewnątrz metod, nie jako top-level classes;Rekordy zastępują wszystkie klasy POJO i są wymagane w Spring Boot od wersji 3;1
Czym jest konstruktor kanoniczny rekordu?;Konstruktor kanoniczny to konstruktor bez parametrów generowany automatycznie;Konstruktor kanoniczny to główny konstruktor rekordu ze wszystkimi komponentami. Może być jawnie zdefiniowany i customizowany;Konstruktor kanoniczny to konstruktor kopiujący dla tworzenia kopii rekordów;Konstruktor kanoniczny to przestarzała nazwa dla compact constructor;1
Jakie rodzaje konstruktorów oferują rekordy?;Tylko konstruktor kanoniczny, żadne inne konstruktory nie są dozwolone;Konstruktor kanoniczny (ze wszystkimi polami), konstruktory zwyczajne, compact constructors (do Java 16);Rekordy nie mogą mieć własnych konstruktorów, wszystko jest automatyczne;Constructor-on-demand pattern oraz lazy constructors dla optymalizacji;1
Czym jest przeciążanie metod?;Przeciążanie to zmiana implementacji metody w podklasie (override);Przeciążanie (overloading) to wiele metod o tej samej nazwie ale różnych parametrach. Parametry różnią się liczbą, typem lub kolejnością;Przeciążanie to używanie metod statycznych zamiast instancyjnych;Przeciążanie to mechanizm JVM do wyboru najszybszej implementacji metody;1
Jaka jest różnica między overriding a overloading?;Oba terminy oznaczają to samo, różnica jest tylko terminologiczna;Overloading to runtime polymorphism, overriding to compile-time polymorphism;Overriding: podklasa zmienia implementację metody z nadrzędnej (ta sama sygnatura). Overloading: wiele metod z tą samą nazwą ale różnymi parametrami;Overriding działa tylko dla metod statycznych, overloading dla instancyjnych;2
