Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest JCF w Javie?;JCF to Java Class Framework dla dziedziczenia klas;Java Collections Framework: standardowa biblioteka do pracy z grupami obiektów. Zawiera interfejsy (Collection, Set, List, Map) i implementacje;JCF to Java Compilation Framework dla optymalizacji kodu;JCF to przestarzała biblioteka zastąpiona przez java.util.stream;1
Jaka jest hierarchia kolekcji w Javie?;Map -> Collection -> {List, Set, Queue};Collection -> Iterable -> {List, Set, Queue, Map};Iterable -> Collection -> {List, Set, Queue}. Map nie dziedziczy z Collection ale jest częścią JCF;Object -> Collection -> wszystkie kolekcje dziedziczą z Collection;2
Czym jest Iterable<E>?;Iterable to przestarzały interfejs zastąpiony przez Stream;Iterable to interfejs który pozwala na iterację. Dostarcza iterator(). Pozwala na for-each pętlę;Iterable to klasa abstrakcyjna dla wszystkich kolekcji;Iterable to adnotacja dla klas które mogą być iterowane;1
Czym jest Iterator<E>?;Iterator to klasa do tworzenia nieskończonych sekwencji;Iterator to interfejs do przechodzenia przez elementy. Metody: hasNext(), next(), remove();Iterator to deprecated mechanizm z Java 1.0;Iterator to functional interface dla lambda expressions;1
Jaka jest różnica między Iterable<E> a Iterator<E>?;Nie ma różnicy, to synonimy;Iterator jest szybszy niż Iterable;Iterable dostarcza iterator(). Iterator jest narzędziem do iteracji;Iterable dla thread-safe kolekcji, Iterator dla normalnych;2
Jakie listy dostępne są w Javie?;ArrayList, LinkedList, Vector, Stack, CopyOnWriteArrayList;List, Array, LinkedArray, VectorList, StackList;Tylko ArrayList i LinkedList, reszta jest deprecated;List<T> to jedyna implementacja od Java 8;0
Z jakiej struktury danych korzysta ArrayList?;Linked list z pointerami;Dynamiczna tablica. Capacity podwaja się gdy jest pełna;Hash table z bucketami;Binary tree dla szybkiego dostępu;1
Z jakiej struktury danych korzysta LinkedList?;Dynamiczna tablica z resize;Hash table z linked nodes;Doubly linked list. Każdy node ma referencje do next i previous;Single linked list tylko z next pointer;2
Czym jest Stack<E>? Jakie ma wady?;Stack to najszybsza struktura LIFO w Java;Stack to LIFO struktura. extends Vector (deprecated). Lepiej użyć Deque (ArrayDeque);Stack to FIFO kolejka dla wielowątkowości;Stack nie ma wad, to najlepsza implementacja;1
Czym jest Vector<E>? Jakie ma wady?;Vector to nowoczesna implementacja ArrayList z Java 8;Vector to legacy synchronized ArrayList. Wady: synchronized (powolny), deprecated. Użyj ArrayList z synchronizedList() lub CopyOnWriteArrayList;Vector to thread-safe wersja LinkedList;Vector to przestarzała nazwa dla ArrayList;1
