Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Omów hierarchię wyjątków w Javie.;Exception jest root. Dzieli się na Throwable i Error;Throwable jest root. Dzieli się na Error i Exception. Exception dzieli się na checked i unchecked/RuntimeException;Error dziedziczy z Exception, RuntimeException dziedziczy z Error;Object -> Exception -> Throwable -> Error to prawidłowa hierarchia;1
Czym jest wyjątek?;Wyjątek to warning kompilator o potencjalnym problemie;Wyjątek to event który przerywa normalny przepływ programu. Reprezentuje sytuację błędu;Wyjątek to metoda która zawsze kończy się niepowodzeniem;Wyjątek to adnotacja oznaczająca ryzykowne operacje;1
Jak wyrzucić wyjątek?;raise ExceptionClass("message"); zgodnie z PEP 8;throw new ExceptionClass("message");;throws new ExceptionClass("message"); w deklaracji metody;Exception.throw("message"); przez statyczną metodę;1
Jak obsłużyć wyjątki?;try-catch blok. try { kod } catch (ExceptionType e) { obsługa };catch-try blok. catch (ExceptionType e) { obsługa } try { kod };except blok. except ExceptionType as e: obsługa;handle blok. handle(ExceptionType e) { obsługa };0
Co to Throwable?;Throwable to interfejs który Exception i Error implementują;Throwable to adnotacja oznaczająca że metoda może rzucić wyjątek;Throwable to superklasa dla Error i Exception. Zawiera stacktrace i message;Throwable to przestarzała nazwa dla Exception z Java 1.0;2
Jakie są różnice między Error a Exception?;Error może być obsłużony, Exception nie może być obsłużona;Nie ma różnic, Error to przestarzała nazwa dla Exception;Error: serio problemy (OutOfMemoryError, StackOverflowError) nie powinny być łapane. Exception: problemy które mogą być obsłużone;Error to checked exception, Exception to unchecked;2
Jakie są różnice między Exception a RuntimeException?;Exception to wszystkie checked i unchecked. RuntimeException to przestarzała nazwa;RuntimeException dziedziczy z Error nie z Exception;Exception (checked) musi być złapana lub w throws. RuntimeException (unchecked) nie musi być zadeklarowana;Exception jest szybsza, RuntimeException wolniejsza ale bezpieczniejsza;2
Czym są wyjątki checked oraz unchecked?;Checked to te sprawdzone przez testy, unchecked to niesprawdzone;Checked: Exception i podklasy (poza RuntimeException) muszą być obsłużone lub zadeklarowane. Unchecked: RuntimeException i podklasy;Checked to z JDK, unchecked to custom wyjątki użytkownika;Checked wymaga @Checked adnotacji, unchecked nie wymaga;1
Jakie wyjątki dodaje się do sygnatury metody?;Wszystkie wyjątki muszą być w sygnaturze;Checked exceptions. Przykład: void myMethod() throws IOException, SQLException { };Unchecked RuntimeExceptions muszą być deklarowane;Żadne, throws jest przestarzałe od Java 8;1
Jakie wyjątki są lepsze w praktyce checked czy unchecked?;Checked są zawsze lepsze bo wymuszają obsługę;Unchecked są zawsze lepsze bo dają elastyczność;Sporna kwestia. Checked wymusza obsługę ale może być uciążliwy. Unchecked daje elastyczność. Spring używa unchecked;Checked do Java 7, potem zawsze unchecked jako best practice;2
