Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest CAP Theorem?;Caching, Allocation, Performance - trzy główne zasady optymalizacji aplikacji distributed dla zwiększenia throughput;Consistency, Availability, Partition tolerance. Distributed system może gwarantować max 2 z 3;Class, Abstraction, Polymorphism - trzy fundamentalne zasady object-oriented programming w projektowaniu systemów;Compilation, Assembly, Processing - trzy główne etapy buildu aplikacji Java od kodu źródłowego do executable JAR;1
Jakie są główne zalety oraz funkcje k8s?;Tylko load balancing dla mikroserwisów bez żadnych dodatkowych funkcjonalności zarządzania kontenerami;Orchestracja kontenerów, auto-scaling, self-healing, load balancing, rolling updates, service discovery;k8s to przestarzała technologia która została całkowicie zastąpiona przez Docker Swarm w nowoczesnych aplikacjach cloud-native;k8s działa tylko z Java aplikacjami i nie wspiera innych języków programowania ani runtime environments;1
Czym jest circuit breaker?;Circuit breaker to wbudowany mechanizm garbage collectora w JVM dla zatrzymywania memory leaks;Design pattern do fault tolerance. Odcina połączenia gdy serwis niedostępny. States: closed (normal), open (broken), half-open (testing);Circuit breaker to design pattern używany wyłącznie dla break points w debuggerze podczas development;Circuit breaker to deprecated pattern z Java 7 który został zastąpiony przez retry mechanism w Spring Framework;1
Czym jest SAGA? Jakie są jej wariancje?;SAGA to testing framework do integracji testów end-to-end w aplikacjach microservices architecture;Pattern do obsługi transakcji w mikroserwisach. Wariancje: choreography (event-driven), orchestration (central coordinator);SAGA to przestarzały design pattern który został całkowicie zastąpiony przez CQRS w nowoczesnych distributed systems;SAGA to acronym dla Spring Application General Architecture jako główny framework configuration pattern;2
Czym jest CQRS i kiedy ma sens?;CQRS to cache strategy dla Redis oraz innych in-memory databases używanych w high-performance applications;Command Query Responsibility Segregation. Oddziel read models od write models. Sens: complex domains, event sourcing;CQRS to deprecated pattern z architektury monolitycznej który nie ma zastosowania w microservices;CQRS to framework dla REST APIs który automatycznie generuje endpoints na podstawie data model definitions;1
Czym jest Blue-Green Deployment?;Deploy aplikacji do production w fizycznie oddzielnych niebieskich i zielonych data centers dla disaster recovery;Dwa identyczne środowiska (Blue, Green). Deploy do Green, test, switch traffic. Minimalne downtime, easy rollback;Blue-Green to oficjalne nazwy wersji Java nadawane przez Oracle (Blue=8, Green=11) dla rozróżnienia release cycles;Blue-Green to testing strategy dla A/B testing użytkowników gdzie Blue to control group a Green to experiment;1
Czym jest Canary Release?;Canary to nazwa dla beta version aplikacji dostępnej tylko dla selected users przed official release;Deploy do małej grupy użytkowników (canary), monitoruj, jeśli ok deploy do wszystkich. Minimalizuje ryzyko;Canary to deprecated deployment strategy z czasów przed Docker containers i nie jest używana w cloud-native;Canary to deployment strategy używana wyłącznie dla mobile apps nie dla backend services;1
Co to jest pattern matching? (Java 16+)?;Pattern matching to wbudowany mechanizm regex operations w String API dla text parsing i validation;Decompose objects i pattern match. Przykład: if (obj instanceof String s && s.length() > 0);Pattern matching to deprecated feature która została usunięta w Java 17 ze względu na problemy z performance;Pattern matching to feature używana tylko w switch expressions nie w instanceof operations;1
Czym są records w Javie?;Records to deprecated nazwa dla enum types która była używana w Java 13 przed zmianą terminologii;Records to log entries w aplikacji zapisywane automatycznie przez JVM do plików systemowych;Lightweight immutable classes (Java 14+). Auto-generate constructor, getters, equals, hashCode, toString;Records to feature używana tylko dla DTO w Spring Framework nie dla ogólnego użycia w aplikacjach;2
Czym jest sealed class/interface? (Java 15+)?;Sealed to synonym dla final class który został wprowadzony dla backward compatibility z starszym kodem;Ograniczenie które klasy mogą rozszerzać daną klasę. sealed class Shape permits Circle, Rectangle;Sealed to przestarzały modyfikator dostępu który został zastąpiony przez protected w nowszych wersjach Java;Sealed to feature która działa tylko dla interfejsów nie dla zwykłych klas ze względu na ograniczenia JVM;1
Czym jest virtual threads? (Java 19+)?;Virtual threads to feature symulująca wielowątkowość w single-threaded applications dla testowania concurrent code;Lightweight threads na projekcie Loom. Miliony vs tysiące platform threads. Znacznie lepiej dla high-concurrency;Virtual threads to deprecated feature która została usunięta w Java 21 ze względu na problemy ze stabilnością;Virtual threads to feature dostępna tylko dla JVM nie dla aplikacji Java przez brak API w java.lang.Thread;1
